Word,Definition,Pronunciation,Grammar,Example
soybean,n. 大豆；黄豆,/ˈsɔɪbiːn/,"soybean oil, soybean meal, grow soybeans, soybean products",Soybean is a common ingredient in many Asian dishes. 大豆是许多亚洲菜肴中的常见成分。
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔",/speɪs/,"in space, space out, make space for, outer space",There is not enough space for all the books on the shelf. 书架上没有足够的空间放所有的书。
spacecraft,n.  宇宙飞船，航天器,/ˈspeɪskræft/,"launch a spacecraft, spacecraft mission, unmanned spacecraft, spacecraft technology",The spacecraft successfully landed on Mars. 宇宙飞船成功登陆火星。
spaceship,n.  宇宙飞船,/ˈspeɪsʃɪp/,"board a spaceship, spaceship design, fictional spaceship, spaceship crew","In the movie, they travel to another planet in a spaceship. 在电影中，他们乘坐宇宙飞船前往另一个星球。"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲",/speɪd/,"call a spade a spade, spade work, use a spade, spade up",He used a spade to dig a hole in the garden. 他用铁锹在花园里挖了一个洞。
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约",/sper/,"spare time, spare no effort, spare change, spare tire",I have some spare time to help you with your homework. 我有些空闲时间可以帮你做作业。
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演",/spiːk/,"speak English, speak up, speak of, speak to",She can speak three languages fluently. 她能流利地说三种语言。
speaker,n. 演讲者；扬声器；说话者；说某种语言的人,/ˈspiːkər/,"native speaker, guest speaker, loudspeaker, speaker system",The speaker at the conference shared valuable insights. 会议上的演讲者分享了宝贵的见解。
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的",/ˈspeʃl/,"special offer, special occasion, special education, special treatment",This restaurant has a special dish that is only available on weekends. 这家餐厅有一道只在周末供应的特色菜。
specialized,"adj. 专业的；专门的
v. 专攻（specialize的过去分词）；使…专门化；详细说明",/ˈspeʃəlaɪzd/,"specialized knowledge, specialized equipment, specialized training, specialized field",He has specialized skills in computer programming. 他在计算机编程方面有专业技能。
species,"n.  物种；种类
adj. 物种上的",/ˈspiːʃiːz/,"endangered species, species diversity, human species, plant species",The panda is an endangered species that needs protection. 熊猫是一种需要保护的濒危物种。
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的",/spəˈsɪfɪk/,"specific details, specific purpose, specific time, specific example",Please provide specific examples to support your argument. 请提供具体的例子来支持你的论点。
spectator,n. 观众；旁观者,/ˈspekteɪtər/,"spectator sport, passive spectator, crowd of spectators, spectator seating",The spectators cheered loudly during the football match. 观众在足球比赛中大声欢呼。
speech,n. 演讲；讲话； 语音；演说,/spiːtʃ/,"make a speech, freedom of speech, speech contest, speech therapy",The president delivered a speech on national television. 总统在国家级电视上发表了演讲。
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆",/spiːd/,"at high speed, speed up, speed limit, with speed",The car was traveling at a speed of 100 kilometers per hour. 汽车以每小时100公里的速度行驶。
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值",/spel/,"spell out, cast a spell, dry spell, spell check","Can you spell your name for me, please? 请问你能拼写一下你的名字吗？"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽",/spend/,"spend time, spend money, spend on, spend doing",I spend two hours every day practicing English. 我每天花两个小时练习英语。
spider,n. 蜘蛛；设圈套者；三脚架,/ˈspaɪdər/,"spider web, spider bite, fear of spiders, spider silk",A spider was spinning a web in the corner of the room. 一只蜘蛛在房间的角落里织网。
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网",/spɪn/,"spin around, spin a story, spin out, spin off",The dancer began to spin around gracefully on the stage. 舞者在舞台上优雅地旋转起来。
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐",/ˈspɪrɪt/,"in high spirits, team spirit, the spirit of the law, break one's spirit",The team showed great team spirit during the competition. 这支队伍在比赛中展现了很强的团队精神。
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射",/spɪt/,"spit out, spit at, spit it out, spit on",He quickly spit out the bitter medicine. 他迅速吐出了苦药。
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒",/spaɪt/,"in spite of, out of spite, do something out of spite, bear a spite","In spite of the heavy rain, they continued their journey. 尽管下着大雨，他们还是继续了旅程。"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的,/ˈsplendɪd/,"a splendid idea, splendid performance, splendid view, splendid achievement",We had a splendid time at the beach last weekend. 我们上周末在海滩度过了美好的时光。
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系",/splɪt/,"split up, split into, split the difference, split hairs",The river splits into two branches near the village. 这条河在村庄附近分成两条支流。
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败",/spɔɪl/,"spoil the fun, spoil a child, spoil one's appetite, spoil for choice",Don't let the bad weather spoil your holiday plans. 不要让坏天气破坏了你的假期计划。
spoken,"v. 说（speak的过去分词）
adj. 口语的，口头的",/ˈspəʊkən/,"spoken English, spoken language, spoken word, well-spoken",She has excellent spoken English and can communicate fluently. 她的英语口语很好，能流利地交流。
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起",/ˈspɒnsə(r)/,"sponsor an event, corporate sponsor, sponsor a bill, sponsor a child",A local company agreed to sponsor the school sports day. 一家本地公司同意赞助学校的运动会。
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击",/spuːn/,"a spoon of sugar, spoon out, spoon-feed, born with a silver spoon",She used a spoon to stir the soup in the pot. 她用勺子搅拌锅里的汤。
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏",/spɔːt/,"do sport, sport event, make sport of, sport a new look",It's important for students to do sport regularly to stay healthy. 学生定期做运动以保持健康很重要。
sportsman,n. 运动员；运动家；冒险家,/ˈspɔːtsmən/,"professional sportsman, sportsmanlike behavior, all-round sportsman, retired sportsman",He is not only a skilled sportsman but also a humble person. 他不仅是一名技艺高超的运动员，还是一个谦逊的人。
sportsmanship,n. 运动员精神，运动道德,/ˈspɔːtsmənʃɪp/,"show good sportsmanship, spirit of sportsmanship, lack of sportsmanship, teach sportsmanship","Good sportsmanship means respecting your opponents, win or lose. 良好的运动员精神意味着无论输赢都要尊重对手。"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好",/spɒt/,"on the spot, spot check, spot a mistake, tourist spot",The police arrived on the spot within minutes of the call. 警察在接到电话后几分钟内就赶到了现场。
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展",/spred/,"spread out, spread the word, spread like wildfire, spread a rumor",The news of the victory spread quickly throughout the town. 胜利的消息迅速传遍了整个城镇。
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开",/sprɪŋ/,"spring up, spring to mind, spring into action, spring festival",Many new buildings have sprung up in the city center recently. 最近市中心涌现了许多新建筑。
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍",/spaɪ/,"spy on, spy out, spy novel, undercover spy",The detective was hired to spy on the suspect's activities. 侦探被雇来监视嫌疑人的活动。
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地",/skweə(r)/,"square meter, town square, square deal, square one's shoulders",The market is held in the town square every Saturday. 每周六市场在城镇广场举行。
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨",/skwiːz/,"squeeze in, squeeze out, squeeze through, squeeze lemon",We managed to squeeze in one more meeting before the deadline. 我们在截止日期前设法挤进了一次会议。
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩",/ˈsteɪbl/,"stable relationship, stable economy, keep stable, stable condition","After the treatment, the patient's condition became stable. 治疗后，病人的病情稳定了下来。"
stadium,n. 体育场；露天大型运动场,/ˈsteɪdiəm/,"football stadium, Olympic stadium, sports stadium, stadium capacity","The new football stadium can hold over 50,000 spectators. 这座新足球体育场可容纳超过5万名观众。"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员",/stɑːf/,"staff member, teaching staff, office staff, staff meeting",The company has a staff of 100 employees. 这家公司有100名员工。
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行",/steɪdʒ/,"on stage, stage of development, early stage, stage performance",She has performed on stage many times. 她已经在舞台上表演过很多次了。
stair,n. 楼梯，阶梯；梯级,/steə(r)/,"stair case, up the stairs, down the stairs, flight of stairs",He ran up the stairs to his room. 他跑上楼梯去了他的房间。
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延",/stɔːl/,"market stall, stall for time, food stall, stall holder",There is a fruit stall at the corner of the street. 街角有一个水果摊。
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉",/stæmp/,"postage stamp, stamp collection, stamp out, stamp on",He collects stamps from different countries. 他收集来自不同国家的邮票。
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗",/stænd/,"stand up, stand for, stand by, stand out",Please stand up when the teacher enters the classroom. 老师进教室时请起立。
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的",/ˈstændəd/,"living standard, standard of living, high standard, standard English",The school maintains high academic standards. 这所学校保持着很高的学术标准。
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角",/stɑː(r)/,"movie star, star in, five-star hotel, star sign",She dreams of becoming a movie star one day. 她梦想有一天能成为电影明星。
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼",/steə(r)/,"stare at, stare into space, stare blankly, stare in disbelief",Don't stare at people; it's impolite. 不要盯着别人看，这不礼貌。
start,"n. 开始；起点
vt. 开始；启动
vi. 出发",/stɑːt/,"start with, start off, start up, start from scratch",The meeting will start at 9 o'clock. 会议将在9点开始。
starvation,n. 饿死；挨饿；绝食,/stɑːˈveɪʃn/,"die of starvation, face starvation, starvation diet, starvation wages",Many people died of starvation during the famine. 饥荒期间许多人饿死了。
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿",/stɑːv/,"starve to death, starve for, starve of, starve out","Without food, they would starve. 没有食物，他们会挨饿。"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述",/steɪt/,"state of mind, state-owned, state the fact, state government",California is a state in the United States. 加利福尼亚是美国的一个州。
statement,n. 声明；陈述，叙述；报表，清单,/ˈsteɪtmənt/,"make a statement, bank statement, official statement, statement of purpose",The company issued a statement about the incident. 公司就此事发表了一份声明。
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎",/ˈsteɪʃn/,"train station, police station, bus station, station master",I'll meet you at the train station. 我会在火车站接你。
stationery,n. 文具；信纸,/ˈsteɪʃənri/,"stationery shop, office stationery, stationery set, stationery items",She bought some pens and paper from the stationery shop. 她从文具店买了一些笔和纸。
statue,"n. 雕像，塑像
vt. 以雕像装饰",/ˈstætʃuː/,"statue of liberty, bronze statue, marble statue, statue unveiling",There is a statue of a famous writer in the park. 公园里有一座著名作家的雕像。
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制",/steɪ/,"stay up, stay in, stay out, stay calm",We decided to stay at home and watch a movie. 我们决定待在家里看电影。
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固",/ˈstedi/,"steady job, steady growth, steady hand, steady relationship",He has a steady job at a local company. 他在当地一家公司有一份稳定的工作。
steak,n. 牛排；肉排；鱼排,/steɪk/,"a steak dinner, order a steak, cook a steak, medium-rare steak",He ordered a medium-rare steak at the restaurant. 他在餐厅点了一份五分熟的牛排。
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒",/stiːl/,"steal from, steal a glance, steal the show, steal away",It is wrong to steal from others. 偷窃他人的东西是错误的。
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽",/stiːm/,"steam engine, let off steam, full steam ahead, steam up",The steam from the kettle fogged up the window. 水壶冒出的蒸汽使窗户变得模糊。
steamship,n. 轮船；汽船,/ˈstiːmʃɪp/,"travel by steamship, a large steamship, steamship company, steamship line","In the past, people often traveled by steamship across the ocean. 过去，人们经常乘轮船横渡大洋。"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷",/stiːl/,"steel industry, steel oneself, steel bridge, stainless steel",The steel industry is important for the country's economy. 钢铁工业对国家经济很重要。
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸",/stiːp/,"steep slope, steep price, steep in, steep climb",The mountain path is too steep for beginners. 这条山路对初学者来说太陡峭了。
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛",/stɪər/,"steer clear of, steer the car, steer the conversation, steer towards",You should steer clear of trouble at school. 你应该在学校里避开麻烦。
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走",/step/,"take a step, step by step, in step with, step forward",She took a careful step on the icy road. 她在结冰的路上小心地迈了一步。
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴",/stɪk/,"stick to, stick out, stick with, stick around",You should stick to your plan if you want to succeed. 如果你想成功，就应该坚持你的计划。
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏",/stɪl/,"stand still, still water, still life, still and all",The lake was still and calm in the morning. 早晨的湖面平静无波。
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励",/ˈstɪmjuleɪt/,"stimulate growth, stimulate interest, stimulate the economy, stimulate discussion",Reading can stimulate your imagination and creativity. 阅读可以激发你的想象力和创造力。
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起",/stɜːr/,"stir up, stir the soup, stir emotions, stir into",She used a spoon to stir the coffee slowly. 她用勺子慢慢搅拌咖啡。
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽",/stɒk/,"stock market, in stock, out of stock, stock up",The store has a large stock of fresh vegetables. 这家商店有大量新鲜蔬菜的库存。
stocking,n. 长袜,/ˈstɒkɪŋ/,"a pair of stockings, Christmas stocking, silk stockings, wear stockings",She wore a pair of black stockings with her dress. 她穿了一条黑色长袜配裙子。
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受",/ˈstʌmək/,"stomach ache, on an empty stomach, stomach flu, can't stomach",He had a stomach ache after eating too much. 他吃太多后胃痛了。
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺",/stəʊn/,"stone age, heart of stone, stone wall, leave no stone unturned",The ancient building was made of stone. 这座古建筑是用石头建造的。
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝",/stɒp/,"stop doing, bus stop, stop by, put a stop to",Please stop talking and listen to the teacher. 请停止说话，听老师讲。
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存",/stɔːr/,"department store, in store, store away, chain store",She went to the store to buy some groceries. 她去商店买了一些杂货。
storekeeper,n. 店主；仓库管理员；零售店店主,/ˈstɔːrkiːpər/,"work as a storekeeper, storekeeper's duty, local storekeeper, storekeeper's shop",The storekeeper is responsible for managing the inventory. 店主负责管理库存。
storey,n.  楼层；叠架的一层,/ˈstɔːri/,"multi-storey building, ground storey, top storey, storey height",The new apartment building has ten storeys. 这栋新公寓楼有十层。
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮",/stɔːrm/,"storm in, storm out, weather the storm, a storm in a teacup",The storm caused severe damage to the coastal area. 暴风雨对沿海地区造成了严重破坏。
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎",/ˈstɔːri/,"tell a story, make up a story, the story goes, a long story",She loves to tell stories to her children before bedtime. 她喜欢在睡前给孩子们讲故事。
storyteller,n. 说故事的人；故事作者；短篇小说作家,/ˈstɔːritelər/,"a gifted storyteller, a traditional storyteller, the role of a storyteller",The old man is a famous storyteller in the village. 这位老人是村里著名的说书人。
stove,"n. 火炉；窑；温室
vt. 用火炉烤",/stoʊv/,"gas stove, electric stove, wood-burning stove, stove top",She cooked dinner on the gas stove. 她在煤气灶上做了晚餐。
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地",/streɪt/,"go straight, straight away, straight line, straight to the point",Go straight ahead and you'll see the library. 一直往前走，你就会看到图书馆。
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅",/strænd/,"a strand of hair, stranded on an island, the main strand, strand of thought",A single strand of hair was found at the scene. 现场发现了一根头发。
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地",/streɪndʒ/,"strange to say, feel strange, strange but true, look strange",It's strange that he didn't call me back. 他没有给我回电话，这很奇怪。
stranger,n. 陌生人；外地人；局外人,/ˈstreɪndʒər/,"a complete stranger, stranger danger, no stranger to, a stranger in a strange land",Don't talk to strangers on the street. 不要在街上和陌生人说话。
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的",/strɔː/,"the last straw, straw hat, straw poll, clutch at straws",He drank the juice through a straw. 他用吸管喝果汁。
strawberry,n. 草莓；草莓色,/ˈstrɔːberi/,"strawberry jam, strawberry field, strawberry shortcake, wild strawberry",She picked some fresh strawberries from the garden. 她从花园里摘了一些新鲜的草莓。
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬",/striːm/,"stream of consciousness, live stream, go with the stream, stream into",A small stream flows through the forest. 一条小溪流过森林。
street,"n. 街道
adj. 街道的",/striːt/,"street corner, street food, street light, on the street",The street was crowded with people during the festival. 节日期间，街上挤满了人。
strength,n. 力量；力气；兵力；长处,/streŋθ/,"strength and weakness, inner strength, on the strength of, gather strength",Regular exercise can build up your physical strength. 定期锻炼可以增强你的体力。
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺",/ˈstreŋθən/,"strengthen ties, strengthen the economy, strengthen one's position, strengthen muscles",The government plans to strengthen environmental protection laws. 政府计划加强环境保护法律。
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读",/stres/,"under stress, stress management, lay stress on, stress out",Too much work can cause a lot of stress. 太多的工作会导致很大的压力。
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）",/stretʃ/,"stretch out, stretch one's legs, stretch the truth, at a stretch",He likes to stretch his arms after sitting for a long time. 坐了很长时间后，他喜欢伸展手臂。
strict,adj. 严格的；绝对的；精确的；详细的,/strɪkt/,"strict with, strict rules, in the strict sense, strict discipline",My parents are very strict about my homework. 我的父母对我的作业要求非常严格。
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达",/straɪk/,"go on strike, strike a balance, strike a chord, strike while the iron is hot",The workers decided to go on strike for better pay. 工人们决定罢工以争取更好的薪酬。
string,n. 线，弦，细绳；一串，一行,/strɪŋ/,"string of pearls, pull strings, string along, string theory",She wore a beautiful string of pearls around her neck. 她脖子上戴着一串漂亮的珍珠项链。
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服",/strɪp/,"strip off, strip away, comic strip, strip search",He had to strip the old paint from the wall. 他不得不剥去墙上的旧油漆。
strive,vi. 努力；奋斗；抗争,/straɪv/,"strive for, strive to do, strive against",We must strive for excellence in our studies. 我们必须努力在学习中追求卓越。
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地",/strɒŋ/,"strong point, strong will, strong evidence, strong feeling",He has a strong will to overcome difficulties. 他有坚强的意志去克服困难。
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造",/ˈstrʌktʃə(r)/,"social structure, sentence structure, structure of, well-structured",The sentence structure in English is different from Chinese. 英语的句子结构与汉语不同。
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎",/ˈstrʌɡl/,"struggle for, struggle with, struggle against, struggle to do",They struggled for freedom and independence. 他们为自由和独立而奋斗。
student,n. 学生；学者,/ˈstjuːdnt/,"college student, student union, student ID, student life","As a student, he works hard every day. 作为一名学生，他每天努力学习。"
studio,n. 工作室； 演播室；画室；电影制片厂,/ˈstjuːdiəʊ/,"recording studio, film studio, art studio, studio apartment",She works in a film studio as a director. 她在一家电影制片厂担任导演。
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功",/ˈstʌdi/,"study hard, study abroad, case study, study for",He studies English every morning to improve his skills. 他每天早晨学习英语以提高技能。
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多",/stʌf/,"stuff with, stuff into, green stuff, stuff like that",Don't stuff your bag with too many books. 不要往你的包里塞太多书。
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的",/ˈstjuːpɪd/,"stupid mistake, stupid idea, feel stupid, stupid question",It was a stupid mistake to forget the homework. 忘记作业是一个愚蠢的错误。
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画",/staɪl/,"in style, style of, writing style, life style",Her writing style is clear and concise. 她的写作风格清晰简洁。
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的",/ˌsʌbˈkɒnʃəs/,"subconscious mind, subconscious desire, subconscious level",Our subconscious mind influences our decisions. 我们的潜意识影响着我们的决定。
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…",/ˈsʌbdʒɪkt/,"subject to, school subject, subject matter, change the subject",Math is my favorite subject in school. 数学是我在学校最喜欢的科目。
substance,n. 物质；实质；资产；主旨,/ˈsʌbstəns/,"in substance, substance abuse, chemical substance, lack substance",Water is a common substance found everywhere. 水是一种到处可见的常见物质。
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替",/ˈsʌbstɪtjuːt/,"substitute for, substitute teacher, substitute product",You can use honey as a substitute for sugar. 你可以用蜂蜜代替糖。
suburb,n. 郊区；边缘,/ˈsʌbɜːb/,"in the suburbs, suburban area, move to the suburbs",They live in a quiet suburb of the city. 他们住在城市的一个安静郊区。
subway,"n. 地铁；地道
vi. 乘地铁",/ˈsʌbweɪ/,"take the subway, subway station, subway line, by subway",I usually take the subway to school. 我通常乘地铁去学校。
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后",/səkˈsiːd/,"succeed in, succeed to, succeed as, succeed in doing","If you work hard, you will succeed in the exam. 如果你努力学习，你会在考试中成功。"
success,n. 成功，成就；胜利；大获成功的人或事物,/səkˈses/,"achieve success, key to success, success story, great success",Hard work is the key to success. 努力工作是成功的关键。
successful,adj. 成功的；一帆风顺的,/səkˈsesfl/,"successful in, successful career, successful business, highly successful",She is successful in her career as a teacher. 她作为一名教师，事业很成功。
such,adj. 这样的，如此的,/sʌtʃ/,"such as, such a, such that, such...that","There are many fruits, such as apples and bananas. 有很多水果，比如苹果和香蕉。"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结",/sʌk/,"suck up to, suck in, suck out, suck at",Don't suck up to the teacher just to get a better grade. 不要为了得到更好的成绩而巴结老师。
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的",/ˈsʌdn/,"all of a sudden, sudden change, sudden death, sudden impact","All of a sudden, it started raining heavily. 突然，天开始下大雨。"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历",/ˈsʌfər/,"suffer from, suffer a loss, suffer pain, suffer consequences",Many people suffer from stress during exams. 许多人在考试期间承受压力。
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的",/ˈsʌfərɪŋ/,"endure suffering, alleviate suffering, cause suffering, physical suffering",The charity aims to alleviate the suffering of the poor. 该慈善机构旨在减轻穷人的苦难。
sufficient,adj. 足够的；充分的,/səˈfɪʃnt/,"sufficient for, sufficient to, sufficient evidence, sufficient time",We have sufficient food for the whole week. 我们有足够的食物维持整个星期。
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖",/ˈʃʊɡər/,"add sugar, sugar content, sugar cane, sugar coat",She likes to add a little sugar to her coffee. 她喜欢在咖啡里加一点糖。
suggest,vt. 提议，建议；启发；使人想起；显示；暗示,/səˈdʒest/,"suggest doing, suggest that, suggest a plan, suggest an idea",I suggest going to the park this weekend. 我建议这个周末去公园。
suggestion,n. 建议；示意；微量，细微的迹象,/səˈdʒestʃən/,"make a suggestion, accept a suggestion, suggestion box, helpful suggestion",He made a useful suggestion for improving the project. 他提出了一个改进项目的有用建议。
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称",/suːt/,"suit someone, suit the occasion, follow suit, file a suit",This dress suits you very well. 这条裙子很适合你。
suitable,adj. 适当的；相配的,/ˈsuːtəbl/,"suitable for, suitable candidate, suitable time, suitable material",This book is suitable for beginners. 这本书适合初学者。
suitcase,n.  手提箱；衣箱,/ˈsuːtkeɪs/,"pack a suitcase, carry a suitcase, suitcase handle, suitcase lock",She packed her suitcase for the trip. 她为旅行收拾了手提箱。
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括",/sʌm/,"sum up, in sum, total sum, large sum",Can you sum up the main points of the lecture? 你能总结一下讲座的要点吗？
summarize,"vt. 总结；概述
vi. 作总结；作概括",/ˈsʌməraɪz/,"summarize the article, summarize findings, summarize briefly, summarize in English",Please summarize the story in your own words. 请用你自己的话总结这个故事。
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的",/ˈsʌməri/,"write a summary, executive summary, summary report, brief summary",He wrote a summary of the book for his homework. 他为作业写了这本书的摘要。
